PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Kyler Murray,ARI,23.9,QB,8800.0,
Josh Allen,BUF,22.4,QB,8700.0,
Russell Wilson,SEA,22.0,QB,8900.0,
Aaron Rodgers,GB,21.8,QB,8400.0,
Justin Herbert,LAC,21.2,QB,8000.0,
Deshaun Watson,HOU,21.1,QB,8300.0,
Tom Brady,TB,19.2,QB,7800.0,
Jared Goff,LAR,18.9,QB,7400.0,
Drew Brees,NO,18.9,QB,7600.0,Q
Ben Roethlisberger,PIT,18.5,QB,7400.0,IR
Carson Wentz,PHI,18.0,QB,7500.0,
Derek Carr,LV,17.7,QB,6900.0,
Gardner Minshew II,JAC,17.3,QB,7000.0,O
Matthew Stafford,DET,17.2,QB,7300.0,
Teddy Bridgewater,CAR,17.1,QB,7000.0,
Baker Mayfield,CLE,16.9,QB,7000.0,
Joe Burrow,CIN,16.7,QB,7200.0,
Tua Tagovailoa,MIA,16.7,QB,6800.0,
Drew Lock,DEN,16.5,QB,7100.0,
Daniel Jones,NYG,15.3,QB,6700.0,
Alex Smith,WAS,15.2,QB,6500.0,
Jake Luton,JAC,14.3,QB,6700.0,
Nick Mullens,SF,13.9,QB,6600.0,
Ryan Fitzpatrick,MIA,6.4,QB,6200.0,
C.J. Beathard,SF,5.2,QB,6300.0,
Brett Rypien,DEN,4.5,QB,6100.0,
Chase Daniel,DET,4.3,QB,6000.0,
Jalen Hurts,PHI,3.5,QB,6100.0,
Mike Glennon,JAC,3.0,QB,6300.0,
Mason Rudolph,PIT,1.1,QB,6000.0,
Marcus Mariota,LV,0.9,QB,6000.0,
Jameis Winston,NO,0.9,QB,6000.0,
David Blough,DET,0.9,QB,6000.0,
Ryan Finley,CIN,0.9,QB,6000.0,
Colt McCoy,NYG,0.8,QB,6000.0,
Case Keenum,CLE,0.8,QB,6500.0,
Tyrod Taylor,LAC,0.8,QB,6400.0,
Nate Sudfeld,PHI,0.8,QB,6000.0,
Josh McCown,HOU,0.7,QB,6000.0,
Blaine Gabbert,TB,0.6,QB,6000.0,
John Wolford,LAR,0.6,QB,6000.0,
Matt Barkley,BUF,0.6,QB,6100.0,
Tim Boyle,GB,0.6,QB,6000.0,
Jeff Driskel,DEN,0.5,QB,6100.0,
Brett Hundley,ARI,0.5,QB,6000.0,
AJ McCarron,HOU,0.5,QB,6000.0,
Will Grier,CAR,0.4,QB,6000.0,
Geno Smith,SEA,0.3,QB,6000.0,
Jake Fromm,BUF,0.1,QB,6000.0,
