PLAYER NAME,TEAM,PROJ. FPTS,Position,Salary,Injury Indicator
Kyler Murray,ARI,24.0,QB,8800.0,
Josh Allen,BUF,23.0,QB,8700.0,
Aaron Rodgers,GB,22.3,QB,8400.0,
Russell Wilson,SEA,21.7,QB,8900.0,
Deshaun Watson,HOU,21.1,QB,8300.0,
Justin Herbert,LAC,20.1,QB,8000.0,
Tom Brady,TB,19.6,QB,7800.0,
Carson Wentz,PHI,19.0,QB,7500.0,
Drew Brees,NO,18.6,QB,7600.0,
Jared Goff,LAR,18.1,QB,7400.0,
Ben Roethlisberger,PIT,17.7,QB,7400.0,IR
Baker Mayfield,CLE,17.4,QB,7000.0,IR
Tua Tagovailoa,MIA,17.0,QB,6800.0,
Derek Carr,LV,16.6,QB,6900.0,
Joe Burrow,CIN,16.3,QB,7200.0,
Matthew Stafford,DET,16.1,QB,7300.0,
Daniel Jones,NYG,15.9,QB,6700.0,
Teddy Bridgewater,CAR,15.4,QB,7000.0,
Drew Lock,DEN,15.2,QB,7100.0,
Jake Luton,JAC,14.8,QB,6700.0,
Alex Smith,WAS,14.4,QB,6500.0,
Nick Mullens,SF,12.1,QB,6600.0,
C.J. Beathard,SF,1.0,QB,6300.0,
Mike Glennon,JAC,1.0,QB,6300.0,
Chase Daniel,DET,1.0,QB,6000.0,
Aaron Jones,GB,18.9,RB,8800.0,
Alvin Kamara,NO,18.1,RB,9000.0,
James Robinson,JAC,16.5,RB,7300.0,
Nick Chubb,CLE,15.0,RB,8200.0,IR
Josh Jacobs,LV,14.8,RB,7500.0,
James Conner,PIT,14.6,RB,7600.0,
Miles Sanders,PHI,14.6,RB,7700.0,Q
Kareem Hunt,CLE,13.9,RB,7500.0,
Antonio Gibson,WAS,13.5,RB,6100.0,
Chase Edmonds,ARI,13.3,RB,7100.0,
David Johnson,HOU,13.1,RB,6300.0,Q
Darrell Henderson,LAR,12.9,RB,5800.0,Q
D'Andre Swift,DET,12.1,RB,6000.0,
